,track.uri,track.name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature
116,2zHLtC9qha5M9dUBUmr8oe,Star to Fall - Radio Edit,0.000768,0.716,169480.0,0.953,0.0714,0.453,-4.668,0.0537,126.976,0.61,0.0,4.0
117,0huUPVJ3iTkhCbrKpNyzPS,Use Somebody,0.00886,0.517,163133.0,0.979,8.12e-06,0.344,-3.715,0.0885,147.913,0.17,5.0,4.0
118,6Oz1bItZlvZ4OLYZcSk2Ho,Toca Me,0.0124,0.786,215133.0,0.798,0.833,0.292,-9.307,0.0676,134.998,0.756,7.0,4.0
119,4zrl5YGi2OqMar45Kdn4BM,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,0.00232,0.668,171547.0,0.905,0.0331,0.141,-5.395,0.038,128.658,0.667,6.0,4.0
120,2SCP5oOX5OSp5RT83h2rs0,Lola's Theme - Radio Edit,0.000842,0.753,207067.0,0.835,8.74e-05,0.13,-4.631,0.0533,123.943,0.669,5.0,4.0
121,5ClXLJW6OLZuTLCwhmX9h9,From Paris to Berlin,0.096,0.741,209667.0,0.869,0.0,0.0396,-6.534,0.0816,126.069,0.839,9.0,4.0
122,0zjORbo98bRxMmyS3wzeKW,Don't Give Up,0.00145,0.644,210787.0,0.72,0.504,0.0839,-9.635,0.0419,132.017,0.53,10.0,4.0
123,1bV3jw1mlVbPkzc9bCGCsl,Ella Elle L A - Radio Version,0.00283,0.56,184693.0,0.861,4.98e-05,0.229,-4.383,0.033,124.917,0.561,4.0,4.0
124,3e5o2U4bvViopkUEGNp1B7,Another Chance,0.000247,0.611,452907.0,0.817,0.142,0.144,-10.027,0.0308,127.997,0.447,3.0,4.0
125,7FpkmUt2H3Mf9TVEGHkUpk,Will I Ever,0.000953,0.64,194072.0,0.951,0.134,0.0934,-5.571,0.0335,136.984,0.838,2.0,4.0
126,4tI7eIbEUfInHS3sxfqkkr,Romeo,0.00709,0.702,217493.0,0.842,0.00112,0.136,-4.157,0.0487,126.845,0.843,2.0,4.0
127,4LjfIjS8iweFCPdKxLnEoV,Let Me Think About It,0.00022,0.762,151983.0,0.754,0.0665,0.146,-3.425,0.046,129.026,0.715,0.0,4.0
128,5RGiyzMQrBQQwMRid7SE65,Nessaja,0.00117,0.512,208933.0,0.909,0.0282,0.243,-7.045,0.0374,143.034,0.137,2.0,4.0
129,6ddQ5KCkvCggk3j6KdA0zL,Bonkers,0.00615,0.624,177573.0,0.977,0.0,0.253,-3.34,0.22,126.129,0.74,11.0,4.0
130,4YnAKHP8pUPeaOov12tljh,The Whistle Song,0.00144,0.834,223800.0,0.913,0.00466,0.108,-7.28,0.0354,139.982,0.903,11.0,4.0
131,6q6PeTloTbL2vb1Gt9sQQc,Ready For The Floor,0.00903,0.764,234240.0,0.759,0.0,0.0746,-5.443,0.0413,128.999,0.937,1.0,4.0
132,6P3TrUT5OBuyrBYGrHo525,"World, Hold On",0.0548,0.734,200400.0,0.941,2.24e-05,0.187,-2.549,0.0965,127.002,0.624,8.0,4.0
133,2KgCPRTAECwNbJG1uYdfjl,Stamp On The Ground,0.211,0.635,197962.0,0.827,0.00719,0.0947,-7.541,0.0583,149.974,0.272,11.0,4.0
134,0awvg4qIKgoUzKG1LY6Hqg,I Turn To You - Hex Hector Radio Mix,0.0464,0.653,253600.0,0.901,2.84e-05,0.129,-6.041,0.0273,137.949,0.795,6.0,4.0
135,0OSAJEA0ekX6pr2nuiPzX7,Rapture (feat.Nadia Ali),0.0722,0.661,253587.0,0.855,0.0185,0.199,-8.403,0.0377,123.943,0.601,8.0,4.0
136,6EbHq1fhCZePddEdD5ppui,Sexual (Li Da Di) - Thunderpuss Remix,0.000192,0.623,226227.0,0.898,0.303,0.138,-6.604,0.0309,130.991,0.786,4.0,4.0
137,0FsTic2eY5j14U8KpubZTx,Total Eclipse of the Heart - Dance Version,0.00364,0.608,228693.0,0.92,0.0,0.0888,-5.282,0.0276,138.025,0.487,7.0,4.0
138,67A5L6EN5OFoJ5m1dbsBWG,I Feel Love,8.91e-05,0.493,234573.0,0.986,0.137,0.386,-6.313,0.0717,150.056,0.475,8.0,4.0
139,0rSJMA0XBPxzgRjCpRPnJP,Forever Young - Kosmonova Radio Edit,0.108,0.652,208613.0,0.998,0.0255,0.255,-6.658,0.0409,139.995,0.923,0.0,4.0
140,0W86MX8ZH0kqdvifeaoJEu,My Love Is Your Love - Jonathan Peters Radio Mix II,0.0482,0.66,258093.0,0.854,0.000818,0.0794,-6.288,0.0358,135.0,0.554,0.0,4.0
141,3jmx0icLOjLCISEcNHTnHp,Feel Your Love - Radio Edit,0.00716,0.533,203320.0,0.795,3.62e-05,0.115,-5.632,0.0417,129.97,0.504,1.0,4.0
