track.uri,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,club_compatible
6aFDlqDjabf1ZeF6EOeZcD,0.0866,0.755,248853.0,0.752,0.00143,0.0675,-8.609,0.0458,127.007,0.741,9.0,4.0,no
4fDTuWwA7vHfHFTnI42Wom,0.007,0.57,196947.0,0.783,8.72e-05,0.289,-2.988,0.104,123.892,0.589,6.0,4.0,no
5xj8gmEaqxoiZYD2Hu5XeT,0.078,0.598,236947.0,0.943,2.26e-05,0.0942,-5.185,0.11,96.54,0.548,6.0,4.0,no
3tTGm2NulEQu7CWSw1RhrQ,0.0797,0.937,183760.0,0.348,0.0163,0.0493,-6.326,0.124,120.962,0.467,11.0,4.0,no
7vtTInouEiXH0isVoA7vPH,0.00207,0.583,210274.0,0.946,0.0,0.119,-6.917,0.0841,144.0,0.468,0.0,4.0,no
2JDqobuhbepPnMopnC6pNc,0.137,0.452,97959.0,0.827,0.0,0.294,-7.235,0.357,169.408,0.626,0.0,4.0,no
01O6A9f3N0tE6dSnlZEsch,0.0036,0.645,218693.0,0.891,0.0895,0.315,-5.355,0.0327,129.992,0.823,6.0,4.0,no
4fWoGsWID9MDWBRP4ufIvY,0.0335,0.733,197067.0,0.778,1.11e-05,0.0714,-6.892,0.0374,102.034,0.884,4.0,4.0,no
1Gk364wvoiBHs1IHTKtTIi,0.0598,0.753,195339.0,0.977,0.0,0.149,-6.27,0.0864,128.076,0.932,6.0,4.0,no
7ulam5uo43o95zKU6VLo4E,0.000388,0.779,417800.0,0.738,0.277,0.115,-7.207,0.079,127.999,0.447,6.0,4.0,no
1ubvV5ECkm6nSI6g1HmbBK,0.166,0.589,403920.0,0.47,1.45e-06,0.112,-5.32,0.028,119.386,0.102,4.0,3.0,no
7AjOSe0vpfLPJiBfKwA2SQ,5.43e-05,0.714,323880.0,0.808,0.0824,0.243,-5.601,0.0613,124.993,0.825,1.0,4.0,no
0kjpYG3EB4I1t9IVkolWJY,0.327,0.797,166765.0,0.893,0.309,0.0869,-7.095,0.0399,136.013,0.882,9.0,4.0,no
5zpwtS6cYJPTMd2x5m06FE,0.148,0.705,219107.0,0.805,7.26e-05,0.0684,-9.629,0.0363,105.085,0.619,4.0,4.0,no
7lvAuH8lGaZt7hn3eOrH4b,0.00089,0.625,370056.0,0.959,0.00286,0.0399,-4.966,0.0604,141.968,0.689,7.0,4.0,no
4t0OI7XrODjSkAu3bTPmWj,0.067,0.556,294333.0,0.651,0.0,0.145,-4.396,0.0266,95.485,0.203,7.0,4.0,no
6XDBA3QWX51lDJ0oZbaJJN,0.036,0.418,317947.0,0.68,7.59e-05,0.108,-4.3,0.0346,204.125,0.142,7.0,4.0,no
2resEVitoSYYpPQE6qZkwL,0.00614,0.683,183067.0,0.694,0.0,0.0909,-4.835,0.0569,122.061,0.712,11.0,4.0,no
1XyRT1VeLaJs5rEJA3rMO9,0.0779,0.646,262667.0,0.612,0.00262,0.114,-8.283,0.0299,124.992,0.345,1.0,4.0,no
4ak5UmoeciFcKjQjx4HCJd,0.0025,0.698,209120.0,0.979,0.000316,0.512,-3.874,0.0306,129.936,0.967,6.0,4.0,no
39DW02MW41A8bBIxH7nT1V,0.0294,0.603,246867.0,0.835,0.149,0.0906,-7.303,0.0282,124.994,0.822,3.0,4.0,no
6IkZCUzTNVdBpIixdippHA,0.0495,0.539,192133.0,0.645,0.0,0.121,-4.728,0.0368,162.01,0.506,8.0,4.0,no
1t5nwfsb90IliczIhOMnpJ,0.133,0.689,197827.0,0.894,4.72e-05,0.0681,-6.342,0.0672,123.971,0.709,6.0,4.0,no
2Sk7RnSVAQGcTovlJQ5FD1,0.0881,0.785,181400.0,0.943,1.05e-06,0.175,-3.619,0.0579,125.044,0.654,9.0,4.0,no
6nwuUKPKgEIQFSTK7ZsGRb,0.0176,0.737,372277.0,0.903,0.602,0.151,-9.389,0.0499,131.991,0.863,5.0,4.0,no
5L7cbaNgw4X6xg5EVkYNiu,0.0394,0.57,266787.0,0.93,0.00515,0.123,-4.314,0.125,125.064,0.462,3.0,4.0,no
3inwCF6VhWkMyy4YEXCDR9,0.000589,0.739,419627.0,0.991,0.75,0.0557,-5.515,0.0583,135.848,0.667,10.0,4.0,no
3tcEWSe71sE6nmOQsm8Qdy,0.000873,0.792,404747.0,0.853,0.332,0.09,-10.694,0.0399,125.979,0.716,1.0,4.0,no
6fufW0yhOYcNHvAaUwgpS1,0.202,0.743,204987.0,0.813,0.0,0.479,-7.112,0.233,91.996,0.819,2.0,4.0,no
0XWqSVN56rdxEk6G9odfyg,0.0695,0.681,201933.0,0.949,1.81e-05,0.0371,-4.293,0.0746,139.952,0.485,0.0,4.0,no
4CpbsZqwBgeDOuy8EENJGd,0.0288,0.603,238267.0,0.774,0.051,0.0533,-6.066,0.0428,124.994,0.48,3.0,4.0,no
7olXQlXqUX5gg2qvTiWfPe,0.00108,0.64,181656.0,0.86,0.000679,0.392,-7.136,0.057,139.989,0.386,5.0,4.0,no
2UkbUBGDyf2CMXNuWi7CvQ,0.668,0.332,296543.0,0.628,0.0,0.863,-6.791,0.0676,142.397,0.238,8.0,3.0,no
